City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,merauke,-8.4667,140.3333,299.68,85,100,5.4,ID,1669903621
344,imphal,24.8167,93.95,289.66,90,0,0.81,IN,1669903617
345,naze,28.3667,129.4833,287.78,72,100,8.43,JP,1669903621
346,atar,20.5169,-13.0499,303.68,10,18,1.06,MR,1669903622
347,te anau,-45.4167,167.7167,278.09,88,82,0.61,NZ,1669903622
348,beringovskiy,63.05,179.3167,274.5,99,100,5.99,RU,1669903622
349,shelburne,44.0787,-80.2041,270.87,88,83,9.74,CA,1669903596
350,kavieng,-2.5744,150.7967,301.0,73,76,1.82,PG,1669903623
351,lorengau,-2.0226,147.2712,300.35,78,95,2.22,PG,1669903623
352,caconda,-13.7333,15.0667,299.86,40,100,3.68,AO,1669903623
353,listvyanskiy,54.4399,83.4984,251.29,93,13,2.61,RU,1669903623
354,krasnoselkup,65.7,82.4667,254.44,98,100,4.55,RU,1669903623
355,lata,40.1629,-8.3327,290.41,58,0,2.97,PT,1669903624
356,koroni,36.8,21.95,290.41,70,29,8.44,GR,1669903620
357,dubti,11.7361,41.0853,305.62,21,2,2.9,ET,1669903624
358,uddevalla,58.3478,11.9424,276.52,93,99,2.41,SE,1669903624
359,filadelfia,39.9523,-75.1638,276.53,48,20,8.75,US,1669903507
360,akdepe,42.0551,59.3788,273.53,46,89,3.04,TM,1669903624
361,campbell river,50.0163,-125.2446,259.98,89,27,3.37,CA,1669903625
362,saint-joseph,-21.3667,55.6167,299.36,79,60,2.21,RE,1669903625
363,los llanos de aridane,28.6585,-17.9182,294.01,71,75,2.06,ES,1669903625
364,alice springs,-23.7,133.8833,291.9,37,2,0.0,AU,1669903625
365,eyl,7.9803,49.8164,300.32,71,97,8.8,SO,1669903625
366,batticaloa,7.7102,81.6924,299.71,79,53,3.14,LK,1669903626
367,drayton valley,53.2168,-114.9854,247.05,100,89,1.0,CA,1669903609
